"","PSID","Gene","Module"
"HLA-DQB1","HLA-DQB1","HLA-DQB1","grey"
"DLK1","DLK1","DLK1","green"
"ALB","ALB","ALB","grey"
"VILL","VILL","VILL","blue"
"SEC14L3","SEC14L3","SEC14L3","blue"
"CXCL6","CXCL6","CXCL6","magenta"
"SLC4A5","SLC4A5","SLC4A5","grey"
"FAM180A","FAM180A","FAM180A","black"
"F5","F5","F5","grey"
"TSHZ2","TSHZ2","TSHZ2","blue"
"TMEM212","TMEM212","TMEM212","cyan"
"FAM9B","FAM9B","FAM9B","grey"
"FAM9A","FAM9A","FAM9A","grey"
"RXFP1","RXFP1","RXFP1","blue"
"GPR101","GPR101","GPR101","green"
"CYBB","CYBB","CYBB","yellow"
"RNF122","RNF122","RNF122","turquoise"
"BACE2","BACE2","BACE2","green"
"ATP6AP1L","ATP6AP1L","ATP6AP1L","grey"
"RAB7B","RAB7B","RAB7B","turquoise"
"SLC6A12","SLC6A12","SLC6A12","black"
"ZIC3","ZIC3","ZIC3","red"
"CACNG5","CACNG5","CACNG5","red"
"BST2","BST2","BST2","yellow"
"FAM9C","FAM9C","FAM9C","grey"
"DRD2","DRD2","DRD2","red"
"RET","RET","RET","red"
"CRABP2","CRABP2","CRABP2","black"
"ANKRD34C","ANKRD34C","ANKRD34C","blue"
"NGB","NGB","NGB","red"
"QRFPR","QRFPR","QRFPR","red"
"SLC6A13","SLC6A13","SLC6A13","black"
"ITIH2","ITIH2","ITIH2","black"
"CLIC6","CLIC6","CLIC6","grey"
"USP43","USP43","USP43","blue"
"ASB4","ASB4","ASB4","red"
"COL3A1","COL3A1","COL3A1","grey"
"PPP3R1","PPP3R1","PPP3R1","grey"
"CROCC2","CROCC2","CROCC2","cyan"
"SLC10A4","SLC10A4","SLC10A4","red"
"PRKCD","PRKCD","PRKCD","red"
"ANO2","ANO2","ANO2","red"
"NTSR1","NTSR1","NTSR1","blue"
"RASGEF1C","RASGEF1C","RASGEF1C","blue"
"CBLN4","CBLN4","CBLN4","blue"
"SPHK1","SPHK1","SPHK1","black"
"DGKK","DGKK","DGKK","red"
"IQCA1","IQCA1","IQCA1","grey"
"TOP2A","TOP2A","TOP2A","turquoise"
"FERMT1","FERMT1","FERMT1","blue"
"RNU4-2","RNU4-2","RNU4-2","grey"
"ITGAX","ITGAX","ITGAX","yellow"
"ARHGAP36","ARHGAP36","ARHGAP36","red"
"ADGRD1","ADGRD1","ADGRD1","red"
"CCDC180","CCDC180","CCDC180","cyan"
"DKKL1","DKKL1","DKKL1","blue"
"RNU4-1","RNU4-1","RNU4-1","grey"
"LGALS3BP","LGALS3BP","LGALS3BP","yellow"
"UPK1B","UPK1B","UPK1B","yellow"
"SOWAHB","SOWAHB","SOWAHB","blue"
"APOLD1","APOLD1","APOLD1","salmon"
"GABRQ","GABRQ","GABRQ","red"
"TNNT2","TNNT2","TNNT2","blue"
"RSAD2","RSAD2","RSAD2","yellow"
"SULT1C2","SULT1C2","SULT1C2","yellow"
"CGA","CGA","CGA","grey"
"CCDC153","CCDC153","CCDC153","cyan"
"MID1","MID1","MID1","grey"
"ADAM33","ADAM33","ADAM33","green"
"CYP2E1","CYP2E1","CYP2E1","yellow"
"SOST","SOST","SOST","red"
"CD44","CD44","CD44","grey"
"PENK","PENK","PENK","grey"
"GNB3","GNB3","GNB3","grey"
"MGP","MGP","MGP","black"
"ENPP6","ENPP6","ENPP6","turquoise"
"CD52","CD52","CD52","yellow"
"INMT","INMT","INMT","grey"
"INMT-MINDY4","INMT-MINDY4","INMT-MINDY4","grey"
"GBP5","GBP5","GBP5","grey"
"ASPG","ASPG","ASPG","yellow"
"CBLN3","CBLN3","CBLN3","grey"
"IGHM","IGHM","IGHM","yellow"
"COL6A1","COL6A1","COL6A1","green"
"TMTC2","TMTC2","TMTC2","grey"
"COX8C","COX8C","COX8C","yellow"
"GBP2","GBP2","GBP2","grey"
"SERPINA3","SERPINA3","SERPINA3","grey"
"HSPA1A","HSPA1A","HSPA1A","grey"
"HSPA1B","HSPA1B","HSPA1B","grey"
"AVP","AVP","AVP","grey"
"WNT6","WNT6","WNT6","black"
"A2M","A2M","A2M","grey"
"FLNC","FLNC","FLNC","yellow"
"WFIKKN2","WFIKKN2","WFIKKN2","grey"
"CDH26","CDH26","CDH26","grey"
"FAM83D","FAM83D","FAM83D","turquoise"
"MYBPC1","MYBPC1","MYBPC1","grey"
"LRRC71","LRRC71","LRRC71","cyan"
"MX1","MX1","MX1","yellow"
"GALNT15","GALNT15","GALNT15","grey"
"MYH11","MYH11","MYH11","black"
"CARD17","CARD17","CARD17","grey"
"CARD16","CARD16","CARD16","grey"
"CASP1","CASP1","CASP1","grey"
"VWC2L","VWC2L","VWC2L","blue"
"COL8A1","COL8A1","COL8A1","grey"
"ADAMTS14","ADAMTS14","ADAMTS14","midnightblue"
"ACER2","ACER2","ACER2","grey"
"PRDM6","PRDM6","PRDM6","black"
"SLC14A2","SLC14A2","SLC14A2","cyan"
"GAPDH","GAPDH","GAPDH","grey"
"GADL1","GADL1","GADL1","grey"
"ZNF474","ZNF474","ZNF474","grey"
"OVOL2","OVOL2","OVOL2","blue"
"FAM110D","FAM110D","FAM110D","grey"
"DRAXIN","DRAXIN","DRAXIN","turquoise"
"COL2A1","COL2A1","COL2A1","grey"
"GSN","GSN","GSN","turquoise"
"KCNJ2","KCNJ2","KCNJ2","grey"
"RPL23A","RPL23A","RPL23A","grey"
"DCT","DCT","DCT","grey"
"ISG15","ISG15","ISG15","yellow"
"LDOC1","LDOC1","LDOC1","green"
"RTP4","RTP4","RTP4","yellow"
"ACTA2","ACTA2","ACTA2","black"
"CPA6","CPA6","CPA6","grey"
"PDE6G","PDE6G","PDE6G","grey"
"LIPM","LIPM","LIPM","grey"
"LRMDA","LRMDA","LRMDA","grey"
"BLOC1S1","BLOC1S1","BLOC1S1","grey"
"MT-ATP8","MT-ATP8","MT-ATP8","grey"
"FOXP2","FOXP2","FOXP2","grey"
"KCNG3","KCNG3","KCNG3","brown"
"APOD","APOD","APOD","yellow"
"PBK","PBK","PBK","turquoise"
"TNC","TNC","TNC","grey"
"MT1M","MT1M","MT1M","grey"
"MT1X","MT1X","MT1X","grey"
"COL1A1","COL1A1","COL1A1","grey"
"SGCZ","SGCZ","SGCZ","blue"
"EBF2","EBF2","EBF2","red"
"C11orf97","C11orf97","C11orf97","cyan"
"SEMA3A","SEMA3A","SEMA3A","blue"
"CA13","CA13","CA13","black"
"PEG10","PEG10","PEG10","red"
"ADAMTSL3","ADAMTSL3","ADAMTSL3","black"
"NPFFR1","NPFFR1","NPFFR1","red"
"DNAH12","DNAH12","DNAH12","cyan"
"IL12RB1","IL12RB1","IL12RB1","turquoise"
"DNALI1","DNALI1","DNALI1","cyan"
"DNAH10","DNAH10","DNAH10","cyan"
"NEUROG2","NEUROG2","NEUROG2","turquoise"
"MOBP","MOBP","MOBP","turquoise"
"MYO3B","MYO3B","MYO3B","grey"
"RSPO1","RSPO1","RSPO1","grey"
"PAPLN","PAPLN","PAPLN","grey"
"RTP1","RTP1","RTP1","grey"
"CLDN11","CLDN11","CLDN11","turquoise"
"ZNF804B","ZNF804B","ZNF804B","pink"
"PI16","PI16","PI16","grey"
"AK7","AK7","AK7","cyan"
"SGK1","SGK1","SGK1","grey"
"EFCAB13","EFCAB13","EFCAB13","grey"
"MGMT","MGMT","MGMT","grey"
"CHRM5","CHRM5","CHRM5","grey"
"SLITRK6","SLITRK6","SLITRK6","grey"
"SLC15A2","SLC15A2","SLC15A2","grey"
"OSR1","OSR1","OSR1","black"
"FAT2","FAT2","FAT2","grey"
"SHOX2","SHOX2","SHOX2","grey"
"KLF5","KLF5","KLF5","blue"
"GKN3P","GKN3P","GKN3P","grey"
"CLDN1","CLDN1","CLDN1","grey"
"ANGPTL4","ANGPTL4","ANGPTL4","grey"
"RASSF10","RASSF10","RASSF10","turquoise"
"LHX1","LHX1","LHX1","red"
"NPBWR1","NPBWR1","NPBWR1","grey"
"STYK1","STYK1","STYK1","grey"
"RECQL4","RECQL4","RECQL4","grey"
"GALR2","GALR2","GALR2","grey"
"DDX60","DDX60","DDX60","yellow"
"ICAM1","ICAM1","ICAM1","grey"
"ANXA1","ANXA1","ANXA1","grey"
"CYP1B1","CYP1B1","CYP1B1","black"
"L3MBTL4","L3MBTL4","L3MBTL4","grey"
"DMGDH","DMGDH","DMGDH","blue"
"SLC5A7","SLC5A7","SLC5A7","red"
"ENDOU","ENDOU","ENDOU","grey"
"NNMT","NNMT","NNMT","grey"
"LGALS3","LGALS3","LGALS3","grey"
"C3AR1","C3AR1","C3AR1","yellow"
"MYO9A","MYO9A","MYO9A","brown"
"ATF3","ATF3","ATF3","grey"
"VWF","VWF","VWF","black"
"SLC26A7","SLC26A7","SLC26A7","black"
"GPR182","GPR182","GPR182","black"
"ANO1","ANO1","ANO1","red"
"ITGAL","ITGAL","ITGAL","grey"
"AQP1","AQP1","AQP1","grey"
"COL1A2","COL1A2","COL1A2","grey"
"SLC17A6","SLC17A6","SLC17A6","blue"
"BUB1B","BUB1B","BUB1B","grey"
"ZIC5","ZIC5","ZIC5","red"
"PIEZO2","PIEZO2","PIEZO2","grey"
"CARTPT","CARTPT","CARTPT","grey"
"SLC13A3","SLC13A3","SLC13A3","black"
"GJB2","GJB2","GJB2","black"
"OR2AK2","OR2AK2","OR2AK2","green"
"DHX58","DHX58","DHX58","grey"
"CASR","CASR","CASR","turquoise"
"DUSP1","DUSP1","DUSP1","salmon"
"KCNE2","KCNE2","KCNE2","grey"
"AEBP1","AEBP1","AEBP1","black"
"TNFRSF8","TNFRSF8","TNFRSF8","grey"
"ELN","ELN","ELN","grey"
"CLDN2","CLDN2","CLDN2","grey"
"COL9A1","COL9A1","COL9A1","grey"
"NME9","NME9","NME9","cyan"
"GABRR2","GABRR2","GABRR2","grey"
"SCTR","SCTR","SCTR","grey"
"TNNI3K","TNNI3K","TNNI3K","green"
"FPGT-TNNI3K","FPGT-TNNI3K","FPGT-TNNI3K","green"
"MEOX1","MEOX1","MEOX1","grey"
"IFI44","IFI44","IFI44","grey"
"LDLRAP1","LDLRAP1","LDLRAP1","turquoise"
"BDKRB2","BDKRB2","BDKRB2","yellow"
"ITGAD","ITGAD","ITGAD","grey"
"CORIN","CORIN","CORIN","red"
"SIK1","SIK1","SIK1","salmon"
"SIK1B","SIK1B","SIK1B","salmon"
"NHLH1","NHLH1","NHLH1","grey"
"UGT8","UGT8","UGT8","turquoise"
"TNNT1","TNNT1","TNNT1","grey"
"RPE65","RPE65","RPE65","blue"
"CYR61","CYR61","CYR61","salmon"
"TNFSF10","TNFSF10","TNFSF10","grey"
"JUNB","JUNB","JUNB","salmon"
"RNF207","RNF207","RNF207","grey"
"ZBBX","ZBBX","ZBBX","grey"
"NEU2","NEU2","NEU2","grey"
"TMEM255B","TMEM255B","TMEM255B","blue"
"NRG1","NRG1","NRG1","blue"
"TDRD1","TDRD1","TDRD1","grey"
"LAG3","LAG3","LAG3","yellow"
"IFITM2","IFITM2","IFITM2","yellow"
"IFITM3","IFITM3","IFITM3","yellow"
"IFITM1","IFITM1","IFITM1","yellow"
"SIGLEC1","SIGLEC1","SIGLEC1","black"
"EGR1","EGR1","EGR1","salmon"
"SLC11A1","SLC11A1","SLC11A1","yellow"
"CST7","CST7","CST7","yellow"
"NLRC4","NLRC4","NLRC4","grey"
"SHISA8","SHISA8","SHISA8","turquoise"
"DCAF12L2","DCAF12L2","DCAF12L2","grey"
"C1QTNF7","C1QTNF7","C1QTNF7","green"
"NXPH2","NXPH2","NXPH2","grey"
"PLEKHF1","PLEKHF1","PLEKHF1","grey"
"CRYGN","CRYGN","CRYGN","grey"
"COL6A5","COL6A5","COL6A5","grey"
"DNMT3B","DNMT3B","DNMT3B","grey"
"MYL4","MYL4","MYL4","grey"
"ALOX12B","ALOX12B","ALOX12B","grey"
"CALB2","CALB2","CALB2","red"
"CILP2","CILP2","CILP2","grey"
"RNF213","RNF213","RNF213","brown"
"CNGB1","CNGB1","CNGB1","grey"
"LOX","LOX","LOX","grey"
"HSPB1","HSPB1","HSPB1","grey"
"WDR49","WDR49","WDR49","cyan"
"PTPRC","PTPRC","PTPRC","yellow"
"VWA5B1","VWA5B1","VWA5B1","grey"
"TRIM14","TRIM14","TRIM14","yellow"
"ADGRF2","ADGRF2","ADGRF2","grey"
"ZC3HAV1","ZC3HAV1","ZC3HAV1","yellow"
"PROM2","PROM2","PROM2","yellow"
"DEPDC7","DEPDC7","DEPDC7","grey"
"PDE6C","PDE6C","PDE6C","grey"
"DBH","DBH","DBH","grey"
"AHNAK2","AHNAK2","AHNAK2","grey"
"HAPLN2","HAPLN2","HAPLN2","magenta"
"GBP6","GBP6","GBP6","grey"
"PTH2R","PTH2R","PTH2R","blue"
"TBC1D10C","TBC1D10C","TBC1D10C","grey"
"TACR3","TACR3","TACR3","green"
"NKX2-1","NKX2-1","NKX2-1","red"
"IER2","IER2","IER2","salmon"
"PPL","PPL","PPL","grey"
"ADAMTS13","ADAMTS13","ADAMTS13","grey"
"WDR86","WDR86","WDR86","grey"
"LYVE1","LYVE1","LYVE1","grey"
"BTN2A2","BTN2A2","BTN2A2","grey"
"PLXDC1","PLXDC1","PLXDC1","blue"
"CLCF1","CLCF1","CLCF1","grey"
"LST1","LST1","LST1","grey"
"PIDD1","PIDD1","PIDD1","grey"
"SAMD9L","SAMD9L","SAMD9L","yellow"
"SP7","SP7","SP7","turquoise"
"RNF17","RNF17","RNF17","grey"
"ALPK2","ALPK2","ALPK2","tan"
"CD4","CD4","CD4","grey"
"LRRC74B","LRRC74B","LRRC74B","cyan"
"TEX13D","TEX13D","TEX13D","greenyellow"
"TEX13C","TEX13C","TEX13C","greenyellow"
"ERVW-1","ERVW-1","ERVW-1","grey"
"MAL","MAL","MAL","turquoise"
"DNAH11","DNAH11","DNAH11","cyan"
"KCNK5","KCNK5","KCNK5","grey"
"FRMPD2","FRMPD2","FRMPD2","cyan"
"CASQ1","CASQ1","CASQ1","grey"
"KCNA5","KCNA5","KCNA5","grey"
"TTC16","TTC16","TTC16","grey"
"TNFSF13B","TNFSF13B","TNFSF13B","grey"
"SERPINE1","SERPINE1","SERPINE1","grey"
"TACR1","TACR1","TACR1","grey"
"THBS4","THBS4","THBS4","grey"
"COL23A1","COL23A1","COL23A1","green"
"PDZD3","PDZD3","PDZD3","grey"
"TRDN","TRDN","TRDN","grey"
"TTLL6","TTLL6","TTLL6","grey"
"NTS","NTS","NTS","grey"
"CYP26B1","CYP26B1","CYP26B1","greenyellow"
"ANKRD66","ANKRD66","ANKRD66","cyan"
"C7orf57","C7orf57","C7orf57","grey"
"C22orf15","C22orf15","C22orf15","grey"
"IL36G","IL36G","IL36G","grey"
"TRPM6","TRPM6","TRPM6","grey"
"TMPRSS11A","TMPRSS11A","TMPRSS11A","grey"
"GPR6","GPR6","GPR6","blue"
"GPR50","GPR50","GPR50","grey"
"UNC13C","UNC13C","UNC13C","blue"
"LIN28B","LIN28B","LIN28B","grey"
"ADAMTS18","ADAMTS18","ADAMTS18","grey"
"DNAH7","DNAH7","DNAH7","grey"
"SLC38A5","SLC38A5","SLC38A5","grey"
"GHRL","GHRL","GHRL","brown"
"FABP7","FABP7","FABP7","turquoise"
"APOC1","APOC1","APOC1","grey"
"FREM3","FREM3","FREM3","grey"
"ECT2","ECT2","ECT2","grey"
"ARL4D","ARL4D","ARL4D","grey"
"MAP4K1","MAP4K1","MAP4K1","grey"
"NUPR1","NUPR1","NUPR1","black"
"PRPH","PRPH","PRPH","blue"
"CHN2","CHN2","CHN2","grey"
"EYA2","EYA2","EYA2","black"
"TBX15","TBX15","TBX15","grey"
"UCMA","UCMA","UCMA","grey"
"F13A1","F13A1","F13A1","grey"
"AP1M2","AP1M2","AP1M2","grey"
"LRRC36","LRRC36","LRRC36","cyan"
"CD48","CD48","CD48","yellow"
"SSPO","SSPO","SSPO","turquoise"
"TM6SF2","TM6SF2","TM6SF2","grey"
"TMIE","TMIE","TMIE","grey"
"GCNT4","GCNT4","GCNT4","blue"
"ADAMTS12","ADAMTS12","ADAMTS12","grey"
"SPATA18","SPATA18","SPATA18","cyan"
"CNMD","CNMD","CNMD","grey"
"ZNF704","ZNF704","ZNF704","brown"
"OTOF","OTOF","OTOF","grey"
"EFEMP1","EFEMP1","EFEMP1","grey"
"ACAP1","ACAP1","ACAP1","cyan"
"ISG20","ISG20","ISG20","grey"
"IL1RAPL2","IL1RAPL2","IL1RAPL2","blue"
"RGS16","RGS16","RGS16","grey"
"NCF1","NCF1","NCF1","grey"
"HEXB","HEXB","HEXB","grey"
"TLR1","TLR1","TLR1","grey"
"CNN1","CNN1","CNN1","black"
"MYLK3","MYLK3","MYLK3","greenyellow"
"DRD1","DRD1","DRD1","blue"
"E2F2","E2F2","E2F2","grey"
"MPP4","MPP4","MPP4","grey"
"BMP4","BMP4","BMP4","grey"
"GLIS1","GLIS1","GLIS1","pink"
"DES","DES","DES","grey"
"PLA1A","PLA1A","PLA1A","grey"
"CFAP161","CFAP161","CFAP161","red"
"OLFML2A","OLFML2A","OLFML2A","black"
"IL27RA","IL27RA","IL27RA","grey"
"XAF1","XAF1","XAF1","yellow"
"CMKLR1","CMKLR1","CMKLR1","yellow"
"LOXL4","LOXL4","LOXL4","grey"
"DNAI2","DNAI2","DNAI2","grey"
"RAMP3","RAMP3","RAMP3","grey"
"IDE","IDE","IDE","grey"
"FIBIN","FIBIN","FIBIN","black"
"EDN1","EDN1","EDN1","grey"
"ADCYAP1","ADCYAP1","ADCYAP1","green"
"ALDH3A1","ALDH3A1","ALDH3A1","grey"
"COL6A2","COL6A2","COL6A2","green"
"UNC13D","UNC13D","UNC13D","grey"
"ANKUB1","ANKUB1","ANKUB1","magenta"
"GEM","GEM","GEM","grey"
"C9orf116","C9orf116","C9orf116","grey"
"PLCH1","PLCH1","PLCH1","blue"
"PHF19","PHF19","PHF19","grey"
"OPRK1","OPRK1","OPRK1","grey"
"CENPF","CENPF","CENPF","turquoise"
"RPGRIP1","RPGRIP1","RPGRIP1","grey"
"RAC2","RAC2","RAC2","grey"
"SERPINA12","SERPINA12","SERPINA12","grey"
"KCNIP4","KCNIP4","KCNIP4","pink"
"MUC3A","MUC3A","MUC3A","grey"
"NKX6-2","NKX6-2","NKX6-2","magenta"
"CDH3","CDH3","CDH3","grey"
"TMPRSS7","TMPRSS7","TMPRSS7","grey"
"STAT5A","STAT5A","STAT5A","grey"
"PIK3AP1","PIK3AP1","PIK3AP1","grey"
"CD300LG","CD300LG","CD300LG","grey"
"EHHADH","EHHADH","EHHADH","grey"
"PIK3R5","PIK3R5","PIK3R5","grey"
"PHF11","PHF11","PHF11","grey"
"DNAH6","DNAH6","DNAH6","cyan"
"PRDM1","PRDM1","PRDM1","grey"
"VAX1","VAX1","VAX1","red"
"TRIM13","TRIM13","TRIM13","grey"
"NRG4","NRG4","NRG4","grey"
"CD209","CD209","CD209","grey"
"C6orf222","C6orf222","C6orf222","green"
"LY6G6F","LY6G6F","LY6G6F","grey"
"RARRES2","RARRES2","RARRES2","cyan"
"CD274","CD274","CD274","grey"
"TSPAN11","TSPAN11","TSPAN11","grey"
"IGSF9","IGSF9","IGSF9","grey"
"FYB1","FYB1","FYB1","grey"
"ZNF366","ZNF366","ZNF366","grey"
"BMP3","BMP3","BMP3","blue"
"SLC6A19","SLC6A19","SLC6A19","grey"
"C3orf62","C3orf62","C3orf62","grey"
"NIPAL4","NIPAL4","NIPAL4","turquoise"
"FAM166B","FAM166B","FAM166B","grey"
"EN2","EN2","EN2","grey"
"CALCR","CALCR","CALCR","red"
"ODF3B","ODF3B","ODF3B","cyan"
"SNTN","SNTN","SNTN","cyan"
"TBX3","TBX3","TBX3","grey"
"FST","FST","FST","grey"
"EQTN","EQTN","EQTN","grey"
"B3GNT5","B3GNT5","B3GNT5","grey"
"CES5A","CES5A","CES5A","grey"
"EVA1B","EVA1B","EVA1B","grey"
"CHST3","CHST3","CHST3","turquoise"
"FSIP1","FSIP1","FSIP1","grey"
"REEP3","REEP3","REEP3","grey"
"TAP1","TAP1","TAP1","yellow"
"TCAF2","TCAF2","TCAF2","grey"
"TCAF2C","TCAF2C","TCAF2C","grey"
"UNC5CL","UNC5CL","UNC5CL","grey"
"ESR1","ESR1","ESR1","green"
"TTF2","TTF2","TTF2","grey"
"SNAI2","SNAI2","SNAI2","grey"
"UPK1A","UPK1A","UPK1A","grey"
"OCA2","OCA2","OCA2","grey"
"C5AR2","C5AR2","C5AR2","grey"
"NID1","NID1","NID1","grey"
"NLRC5","NLRC5","NLRC5","grey"
"CPED1","CPED1","CPED1","black"
"SNORD104","SNORD104","SNORD104","grey"
"NEIL3","NEIL3","NEIL3","grey"
"OAS2","OAS2","OAS2","yellow"
"RTL3","RTL3","RTL3","grey"
"KIF19","KIF19","KIF19","turquoise"
"TMEM91","TMEM91","TMEM91","grey"
"KIF11","KIF11","KIF11","grey"
"GABRE","GABRE","GABRE","grey"
"KRT2","KRT2","KRT2","grey"
"GRB7","GRB7","GRB7","blue"
"SLC6A20","SLC6A20","SLC6A20","black"
"ACP7","ACP7","ACP7","green"
"C7","C7","C7","grey"
"THBS1","THBS1","THBS1","grey"
"FHOD3","FHOD3","FHOD3","blue"
"TMEM102","TMEM102","TMEM102","grey"
"TBX18","TBX18","TBX18","black"
"TMEM267","TMEM267","TMEM267","grey"
"PLP1","PLP1","PLP1","turquoise"
"FAM47E","FAM47E","FAM47E","grey"
"FAM47E-STBD1","FAM47E-STBD1","FAM47E-STBD1","grey"
"LSP1","LSP1","LSP1","yellow"
"C2orf73","C2orf73","C2orf73","grey"
"DAPK2","DAPK2","DAPK2","grey"
"RASSF6","RASSF6","RASSF6","grey"
"CDKN1A","CDKN1A","CDKN1A","grey"
"HMGCS2","HMGCS2","HMGCS2","grey"
"SPSB2","SPSB2","SPSB2","grey"
"SERPING1","SERPING1","SERPING1","black"
"CARD14","CARD14","CARD14","grey"
"ARPC1B","ARPC1B","ARPC1B","turquoise"
"ASB14","ASB14","ASB14","grey"
"SLCO4A1","SLCO4A1","SLCO4A1","grey"
"C17orf97","C17orf97","C17orf97","grey"
"SLC4A11","SLC4A11","SLC4A11","grey"
"AOC3","AOC3","AOC3","grey"
"KBTBD6","KBTBD6","KBTBD6","grey"
"KBTBD7","KBTBD7","KBTBD7","grey"
"CACNA2D4","CACNA2D4","CACNA2D4","turquoise"
"BCL6B","BCL6B","BCL6B","grey"
"GLRA3","GLRA3","GLRA3","blue"
"PARP14","PARP14","PARP14","yellow"
"CRH","CRH","CRH","grey"
"BTG2","BTG2","BTG2","salmon"
"FBLN2","FBLN2","FBLN2","grey"
"RANBP3L","RANBP3L","RANBP3L","black"
"RAD51AP2","RAD51AP2","RAD51AP2","grey"
"PTAR1","PTAR1","PTAR1","brown"
"LIPH","LIPH","LIPH","grey"
"RGS22","RGS22","RGS22","red"
"ALOX5","ALOX5","ALOX5","grey"
"OR10H4","OR10H4","OR10H4","grey"
"OR10H3","OR10H3","OR10H3","grey"
"NHLH2","NHLH2","NHLH2","turquoise"
"PNPLA1","PNPLA1","PNPLA1","grey"
"EXOC3L4","EXOC3L4","EXOC3L4","grey"
"ACR","ACR","ACR","grey"
"C2","C2","C2","grey"
"ALDH3B2","ALDH3B2","ALDH3B2","grey"
"TBX6","TBX6","TBX6","grey"
"OR10H1","OR10H1","OR10H1","grey"
"OR10H5","OR10H5","OR10H5","grey"
"OR10H2","OR10H2","OR10H2","grey"
"AK8","AK8","AK8","grey"
"MOG","MOG","MOG","turquoise"
"REC8","REC8","REC8","grey"
"SHCBP1","SHCBP1","SHCBP1","grey"
"CCDC187","CCDC187","CCDC187","red"
"NXPH4","NXPH4","NXPH4","grey"
"ZAN","ZAN","ZAN","grey"
"PTGDR","PTGDR","PTGDR","grey"
"RDH16","RDH16","RDH16","grey"
