BioSample,Experiment,MBases,MBytes,Run,SRA_Sample,Sample_Name,Sex,age,Assay_Type,AvgSpotLen,BioProject,Center_Name,Consent,DATASTORE_filetype,DATASTORE_provider,InsertSize,Instrument,LibraryLayout,LibrarySelection,LibrarySource,LoadDate,Organism,Platform,ReleaseDate,SRA_Study,source_name,strain,tissue
SAMN05335342,SRX1890423,691,463,SRR3734806,SRS1536980,GSM2221823,female,2 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335343,SRX1890424,1601,1077,SRR3734807,SRS1536983,GSM2221824,female,2 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335330,SRX1890425,1052,650,SRR3734808,SRS1536981,GSM2221825,female,2 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335331,SRX1890426,1433,970,SRR3734809,SRS1536984,GSM2221826,female,2 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335332,SRX1890427,2206,1499,SRR3734810,SRS1536985,GSM2221827,female,2 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335318,SRX1890428,2566,1724,SRR3734811,SRS1536982,GSM2221828,male,2 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335319,SRX1890429,2437,1638,SRR3734812,SRS1536986,GSM2221829,male,2 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335320,SRX1890430,1482,916,SRR3734813,SRS1536987,GSM2221830,male,2 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335321,SRX1890431,1609,1086,SRR3734814,SRS1536988,GSM2221831,male,2 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335322,SRX1890432,1721,1160,SRR3734815,SRS1536990,GSM2221832,male,2 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335323,SRX1890433,2016,1350,SRR3734816,SRS1536989,GSM2221833,female,4 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335324,SRX1890434,1388,935,SRR3734817,SRS1536992,GSM2221834,female,4 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335325,SRX1890435,1580,975,SRR3734818,SRS1536994,GSM2221835,female,4 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335326,SRX1890436,819,506,SRR3734819,SRS1536991,GSM2221836,female,4 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335327,SRX1890437,1236,834,SRR3734820,SRS1536993,GSM2221837,female,4 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335328,SRX1890438,2055,1376,SRR3734821,SRS1536996,GSM2221838,male,4 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335329,SRX1890439,1595,1069,SRR3734822,SRS1536999,GSM2221839,male,4 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335345,SRX1890440,1036,642,SRR3734823,SRS1536995,GSM2221840,male,4 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335346,SRX1890441,1230,760,SRR3734824,SRS1536997,GSM2221841,male,4 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
SAMN05335347,SRX1890442,1487,1003,SRR3734825,SRS1536998,GSM2221842,male,4 Month,RNA-Seq,100,PRJNA327433,GEO,public,sra,ncbi,0,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,6/30/2016,Mus musculus,ILLUMINA,3/25/2017,SRP077669,Hippocampus,C57BL/6J,Hippocampus
