"","ftp","study","sample","experiment","run","size(KB)","date"
"19","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734814/SRR3734814.sra","SRP077669","SRS1536988","SRX1890431","SRR3734814",NA,NA
"20","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734815/SRR3734815.sra","SRP077669","SRS1536990","SRX1890432","SRR3734815",NA,NA
"21","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734816/SRR3734816.sra","SRP077669","SRS1536989","SRX1890433","SRR3734816",NA,NA
"22","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734817/SRR3734817.sra","SRP077669","SRS1536992","SRX1890434","SRR3734817",NA,NA
"23","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734818/SRR3734818.sra","SRP077669","SRS1536994","SRX1890435","SRR3734818",NA,NA
"24","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734819/SRR3734819.sra","SRP077669","SRS1536991","SRX1890436","SRR3734819",NA,NA
"25","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734820/SRR3734820.sra","SRP077669","SRS1536993","SRX1890437","SRR3734820",NA,NA
"26","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734821/SRR3734821.sra","SRP077669","SRS1536996","SRX1890438","SRR3734821",NA,NA
"27","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734822/SRR3734822.sra","SRP077669","SRS1536999","SRX1890439","SRR3734822",NA,NA
"28","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734823/SRR3734823.sra","SRP077669","SRS1536995","SRX1890440","SRR3734823",NA,NA
"29","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734824/SRR3734824.sra","SRP077669","SRS1536997","SRX1890441","SRR3734824",NA,NA
"30","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR373/SRR3734825/SRR3734825.sra","SRP077669","SRS1536998","SRX1890442","SRR3734825",NA,NA
