BioSample,Experiment,MBases,MBytes,Run,SRA_Sample,Sample_Name,Sex,age,genotype_variation,housing_condition,source_name,Assay_Type,AvgSpotLen,BioProject,Center_Name,Consent,DATASTORE_filetype,DATASTORE_provider,InsertSize,Instrument,LibraryLayout,LibrarySelection,LibrarySource,LoadDate,Organism,Platform,ReleaseDate,SRA_Study,strain_background,tissue
SAMN04116139,SRX1292670,4997,1877,SRR2531542,SRS1091953,GSM1896433,female,2 months,Wild Type,housed with Het (Q20) and WT mice,WT 2 month_Female_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116141,SRX1292671,4595,1698,SRR2531543,SRS1091966,GSM1896434,female,2 months,Wild Type,housed with Het (Q20) and WT mice,WT 2 month_Female_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116140,SRX1292672,4719,1718,SRR2531544,SRS1091965,GSM1896435,male,2 months,Wild Type,housed with Het (Q20) and WT mice,WT 2 month_Male_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116142,SRX1292673,4444,1668,SRR2531545,SRS1091963,GSM1896436,male,2 months,Wild Type,housed with Het (Q20) and WT mice,WT 2 month_Male_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116143,SRX1292674,5268,1979,SRR2531546,SRS1091964,GSM1896437,male,2 months,Wild Type,housed with Het (Q20) and WT mice,WT 2 month_Male_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116144,SRX1292675,3977,1523,SRR2531547,SRS1091962,GSM1896438,male,2 months,Wild Type,housed with Het (Q20) and WT mice,WT 2 month_Male_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116145,SRX1292676,4388,1622,SRR2531548,SRS1091961,GSM1896439,female,6 months,Wild Type,housed with Het (Q20) and WT mice,WT 6 month_Female_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116146,SRX1292677,4303,1594,SRR2531549,SRS1091960,GSM1896440,female,6 months,Wild Type,housed with Het (Q20) and WT mice,WT 6 month_Female_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116147,SRX1292678,4761,1734,SRR2531550,SRS1091959,GSM1896441,female,6 months,Wild Type,housed with Het (Q20) and WT mice,WT 6 month_Female_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116148,SRX1292679,4462,1640,SRR2531551,SRS1091958,GSM1896442,female,6 months,Wild Type,housed with Het (Q20) and WT mice,WT 6 month_Female_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116150,SRX1292680,4531,1664,SRR2531552,SRS1091957,GSM1896443,male,6 months,Wild Type,housed with Het (Q20) and WT mice,WT 6 month_Male_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116149,SRX1292681,4265,1573,SRR2531553,SRS1091956,GSM1896444,male,6 months,Wild Type,housed with Het (Q20) and WT mice,WT 6 month_Male_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116151,SRX1292682,4571,1689,SRR2531554,SRS1091955,GSM1896445,male,6 months,Wild Type,housed with Het (Q20) and WT mice,WT 6 month_Male_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
SAMN04116152,SRX1292683,4338,1602,SRR2531555,SRS1091954,GSM1896446,male,6 months,Wild Type,housed with Het (Q20) and WT mice,WT 6 month_Male_Hippocampus,RNA-Seq,102,PRJNA297190,GEO,public,sra,ncbi,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,9/28/2015,Mus musculus,ILLUMINA,11/3/2015,SRP064245,C57BL/6,Brain - Hippocampus
