"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"11","response to interferon-alpha (GO:0035455)","6/18",2.45617533192624e-09,2.46640939580927e-07,4.84876346812014e-08,4.86896664923731e-06,-1.82643896754571,36.2085323459574,"BST2;IFITM3;IFITM1;IFITM2;PYHIN1;EIF2AK2"
"12","regulation of humoral immune response (GO:0002920)","9/114",1.64702107520114e-07,1.16744729153963e-05,1.33706009465757e-06,9.47739655330808e-05,-2.24735934189846,35.1017918830744,"C1QB;C3;C4B;C1QA;C4A;PROS1;C3AR1;FCGR2B;C1QC"
"13","neutrophil activation involved in immune response (GO:0002283)","23/484",1.10890751630788e-12,1.67029194643875e-10,8.13182297019207e-11,1.22485583488518e-08,-1.24529555952215,34.2800550848269,"FCER1G;ITGAM;ANXA3;MVP;NFAM1;SLC11A1;CTSZ;ITGB2;CYBB;CTSS;ARHGAP45;BST2;C3;FCGR2A;PTPRC;TYROBP;NPC2;C3AR1;ITGAX;MAN2B1;PTPN6;DOCK2;LAIR1"
"14","response to cytokine (GO:0034097)","13/139",3.14559223934276e-11,3.79043864840803e-09,7.86721419763958e-10,9.4799931081557e-08,-1.27535400284261,30.8411637951904,"IFITM3;IFITM1;IFITM2;STAT1;SLC11A1;MX1;EIF2AK2;ISG15;OSMR;CXCL16;BST2;PTPN6;XAF1"
"15","positive regulation of phagocytosis (GO:0050766)","7/40",1.52761470969326e-08,1.31483980370027e-06,1.61498524889226e-07,1.39004087493941e-05,-1.7133086562955,30.8343700363769,"C3;C4B;C4A;FCER1G;SLC11A1;DOCK2;FCGR2B"
"16","positive regulation of apoptotic cell clearance (GO:2000427)","3/8",2.12055476388945e-05,0.000824280158221545,0.000103984245017967,0.0040419682337629,-2.76884035980354,29.7961770351147,"C3;C4B;C4A"
"17","negative regulation of cytokine production (GO:0001818)","11/111",5.85078297725497e-10,6.40926680690204e-08,9.64321742705947e-09,1.05637063632788e-06,-1.31242661839412,27.9012389691741,"IFIH1;CD84;GPNMB;UBA7;DDX58;SLC11A1;TRIM25;APOD;ISG15;FCGR2B;CMKLR1"
"18","regulation of protein activation cascade (GO:2000257)","8/109",1.4288251716412e-06,8.60867165913821e-05,8.75456836757419e-06,0.000527462744146345,-2.02498811824949,27.2536225571231,"C1QB;C3;C4B;C1QA;C4A;PROS1;C3AR1;C1QC"
"19","regulation of apoptotic cell clearance (GO:2000425)","3/9",3.16368082698018e-05,0.00115522284742761,0.000137755528526656,0.00503016399620061,-2.59662863259875,26.9041607952798,"C3;C4B;C4A"
"20","regulation of interferon-alpha production (GO:0032647)","4/17",6.18918509761596e-06,0.000310748668442802,3.03656020285848e-05,0.00152460626851853,-2.23818212815524,26.8418627623992,"IFIH1;DDX58;STAT1;IRF7"
"21","negative regulation of leukocyte degranulation (GO:0043301)","2/7",0.00109986983640762,0.0197364260014277,0.0026509928750828,0.0484007032496178,-3.50145363356514,23.8538749993891,"CD84;FCGR2B"
"22","regulation of acute inflammatory response (GO:0002673)","9/122",2.94878074134325e-07,1.87014778595717e-05,2.26446450829711e-06,0.000143614722763054,-1.55353899516134,23.3601058270476,"C1QB;C3;C4B;C1QA;C4A;PROS1;C3AR1;OSMR;C1QC"
"23","positive regulation of interferon-alpha production (GO:0032727)","4/20",1.23849979265543e-05,0.000545249986110883,5.28221454184799e-05,0.00241969163464877,-2.06045436312266,23.2811246647527,"IFIH1;DDX58;STAT1;IRF7"
"24","T cell proliferation (GO:0042098)","3/12",8.15260474235355e-05,0.00272885797626001,0.000279455399740362,0.00935399324130935,-2.46644338432292,23.2205482603371,"SLC11A1;MSN;PIK3CG"
"25","phagocytosis (GO:0006909)","8/136",7.49221560276547e-06,0.000347235376974323,3.96346501427904e-05,0.0019103901368825,-1.94412970272936,22.9439305220467,"C3;IGHM;ITGAM;ANXA3;SLC11A1;ITGB2;PLD4;FCGR2B"
"26","regulation of protein processing (GO:0070613)","8/129",5.06674806199848e-06,0.000265453539769921,2.77147646185895e-05,0.00145201266806089,-1.81115664661552,22.0830913248007,"C1QB;C3;C4B;C1QA;C4A;PROS1;C3AR1;C1QC"
"27","response to interferon-gamma (GO:0034341)","8/69",4.02678186695824e-08,3.23484809978979e-06,3.62213580853421e-07,2.90978243285581e-05,-1.29266572021782,22.0111411876447,"BST2;IFITM3;IFITM1;CCL8;IFITM2;STAT1;SLC11A1;CXCL16"
"28","regulation of dendritic spine maintenance (GO:1902950)","2/8",0.00145942459930186,0.02409050194738,0.00329471265444965,0.0543853253234496,-3.19761627200151,20.8795166394607,"APOE;FCGR2B"
"29","cellular response to interferon-gamma (GO:0071346)","7/117",2.53657795293917e-05,0.000955180135403658,0.000110477905161492,0.00416018361623743,-1.94987538853295,20.6337949799299,"CCL8;OAS1;OAS2;STAT1;IRF7;TRIM25;IRF9"
"30","positive regulation of macrophage chemotaxis (GO:0010759)","2/8",0.00145942459930186,0.02409050194738,0.00329471265444965,0.0543853253234496,-3.15786134886038,20.6199283997792,"CSF1;CMKLR1"
"31","regulation of interferon-alpha secretion (GO:1902739)","2/7",0.00109986983640762,0.0197364260014277,0.0026509928750828,0.0484007032496178,-3.01312590112722,20.5271113442472,"IFIH1;DDX58"
"32","negative regulation of viral entry into host cell (GO:0046597)","3/16",0.000203088942885257,0.00582671848039844,0.000580042413494378,0.0169024191452637,-2.41380156781035,20.5218187656726,"IFITM3;IFITM1;IFITM2"
"33","regulation of cytokine production (GO:0001817)","9/109",1.11754993989435e-07,8.41654798482929e-06,9.42534764208515e-07,7.09846494294538e-05,-1.25695828273084,20.1200770762632,"IFIH1;GPNMB;IFI16;DDX58;NFAM1;SLC11A1;IRF7;EIF2AK2;ISG15"
"34","positive regulation of myeloid leukocyte mediated immunity (GO:0002888)","2/10",0.00232296700479776,0.0325485493114105,0.00477696498887973,0.0685267001380961,-3.28835732223372,19.9435913025437,"ITGAM;ITGB2"
"35","response to type I interferon (GO:0034340)","2/8",0.00145942459930186,0.02409050194738,0.00329471265444965,0.0543853253234496,-2.93233793522778,19.1473252269844,"MX1;ISG15"
"36","negative regulation of leukocyte mediated cytotoxicity (GO:0001911)","2/9",0.00186736396816555,0.0288483792517883,0.0040037634121201,0.06185301168724,-3.04252617406311,19.1168840815839,"PTPRC;FCGR2B"
"37","regulation of nuclease activity (GO:0032069)","2/7",0.00109986983640762,0.0197364260014277,0.0026509928750828,0.0484007032496178,-2.76576970725497,18.8419815820273,"OAS1;OAS2"
"38","regulation of viral entry into host cell (GO:0046596)","4/27",4.31026131124031e-05,0.00152760731766017,0.000149141558897706,0.00528575230799221,-1.87022477158558,18.7993627534513,"IFITM3;IFITM1;IFITM2;TRIM25"
"39","immunoglobulin mediated immune response (GO:0016064)","2/9",0.00186736396816555,0.0288483792517883,0.0040037634121201,0.06185301168724,-2.977662966747,18.7093337945914,"FCER1G;FCGR2B"
"40","cellular defense response (GO:0006968)","5/57",6.16764762913358e-05,0.00212343296945885,0.00021029745212337,0.00724024085167601,-1.89024859020906,18.323328778937,"CX3CR1;LGALS3BP;TYROBP;CD300C;LSP1"
"41","positive regulation of macrophage migration (GO:1905523)","2/8",0.00145942459930186,0.02409050194738,0.00329471265444965,0.0543853253234496,-2.79423151561791,18.2455299391916,"CSF1;CMKLR1"
"42","defense response to protozoan (GO:0042832)","2/9",0.00186736396816555,0.0288483792517883,0.0040037634121201,0.06185301168724,-2.89895005898675,18.2147626891052,"CLEC7A;SLC11A1"
"43","regulation of type I interferon-mediated signaling pathway (GO:0060338)","4/40",0.000208412187507964,0.0058403880452813,0.000589129961909605,0.0169024191452637,-2.12672154414809,18.0260764287503,"STAT1;STAT2;PTPN6;USP18"
"44","positive regulation of type I interferon production (GO:0032481)","5/63",9.9939149471657e-05,0.00325477500306342,0.000324831068815837,0.010578957781705,-1.95247938285644,17.9841881410216,"IFIH1;IFI16;DDX58;STAT1;IRF7"
"45","T cell migration (GO:0072678)","3/17",0.000245281748151281,0.00656810014493985,0.000678035243590142,0.01856891973923,-2.15969979502324,17.9538068790147,"MSN;PIK3CG;CXCL16"
"46","regulation of complement activation (GO:0030449)","8/110",1.53140292691759e-06,8.78733584255091e-05,9.32271626572806e-06,0.000534946338104872,-1.33683852971679,17.8993672807799,"C1QB;C3;C4B;C1QA;C4A;PROS1;C3AR1;C1QC"
"47","negative regulation of alcohol biosynthetic process (GO:1902931)","2/10",0.00232296700479776,0.0325485493114105,0.00477696498887973,0.0685267001380961,-2.75657793235143,16.7183971476322,"PLEK;APOE"
"48","regulation of type I interferon production (GO:0032479)","7/86",3.32143935584618e-06,0.000181924291990666,1.74097351764519e-05,0.000953578676710206,-1.30925602004385,16.5164117590552,"IFIH1;IFI16;UBA7;DDX58;IRF7;TRIM25;ISG15"
"49","positive regulation of leukocyte degranulation (GO:0043302)","2/12",0.00337431954577831,0.0423547401319049,0.00651117687760061,0.081728834765716,-2.89520286156026,16.4782254051561,"ITGAM;ITGB2"
"50","B cell mediated immunity (GO:0019724)","2/9",0.00186736396816555,0.0288483792517883,0.0040037634121201,0.06185301168724,-2.61454323902462,16.4277699409155,"FCER1G;FCGR2B"
"51","positive regulation of interferon-alpha secretion (GO:1902741)","2/7",0.00109986983640762,0.0197364260014277,0.0026509928750828,0.0484007032496178,-2.34960329133665,16.0068214733522,"IFIH1;DDX58"
"52","negative regulation of type I interferon production (GO:0032480)","5/45",1.93169296784538e-05,0.000775896675417895,7.490102831226e-05,0.00300852463720911,-1.46471392619444,15.8987792922537,"IFIH1;UBA7;DDX58;TRIM25;ISG15"
"53","regulation of interferon-gamma-mediated signaling pathway (GO:0060334)","3/23",0.000618499861696746,0.0143325448720111,0.00148803276546625,0.0351584212232711,-2.14909136975107,15.8779460635932,"STAT1;PARP14;IRGM"
"54","positive regulation of cytokine production (GO:0001819)","8/221",0.000234231393833525,0.00641474612657721,0.000939014453397113,0.0240747322626281,-1.89775860864579,15.8637457894745,"C3;IFI16;DDX58;NFAM1;SLC11A1;IRF7;EIF2AK2;DDX60"
"55","inflammatory response (GO:0006954)","9/253",0.000108699743947467,0.00335854337068455,0.00050991007998554,0.0153610411595644,-1.73785743484709,15.8612877246625,"CCL8;NFAM1;SLC11A1;ITGB2;BDKRB2;C3AR1;CYBB;FCGR2B;PIK3CG"
"56","positive regulation of tumor necrosis factor secretion (GO:1904469)","2/12",0.00337431954577831,0.0423547401319049,0.00651117687760061,0.081728834765716,-2.78128559931124,15.8298582907819,"IFIH1;DDX58"
"57","T cell chemotaxis (GO:0010818)","2/11",0.0028255206293462,0.0382556444759794,0.00561315264378272,0.0768619197245247,-2.66238326407952,15.625694142686,"PIK3CG;CXCL16"
"58","phagocytosis, engulfment (GO:0006911)","5/105",0.00107287606115212,0.0197364260014277,0.00284568071049483,0.0504271361197982,-2.28020567174038,15.5907063722782,"C3;IGHM;ITGAM;ITGB2;FCGR2B"
"59","negative regulation of viral process (GO:0048525)","3/22",0.000540728213585577,0.0132974999463392,0.00132479578429122,0.0325791616341005,-2.04127559138103,15.3556870735154,"IFITM3;STAT1;TRIM14"
"60","myeloid cell activation involved in immune response (GO:0002275)","2/12",0.00337431954577831,0.0423547401319049,0.00651117687760061,0.081728834765716,-2.69385816594593,15.3322596690358,"FCER1G;DOCK2"
"61","regulation of dendritic cell antigen processing and presentation (GO:0002604)","2/9",0.00186736396816555,0.0288483792517883,0.0040037634121201,0.06185301168724,-2.43588900611581,15.3052447543397,"SLC11A1;FCGR2B"
"62","regulation of platelet activation (GO:0010543)","3/20",0.000404613184611012,0.0101574768220056,0.00103325350524826,0.0259389682046698,-1.95083814192787,15.241077191679,"FCER1G;PLEK;APOE"
"63","hematopoietic progenitor cell differentiation (GO:0002244)","3/23",0.000618499861696746,0.0143325448720111,0.00148803276546625,0.0351584212232711,-2.06235618316743,15.2371279793671,"PTPRC;PLEK;PLD4"
"64","regulation of innate immune response (GO:0045088)","6/70",1.26697092208338e-05,0.000545249986110883,5.42171569589351e-05,0.00241969163464877,-1.35104463130813,15.2347798664202,"IFI16;STAT1;STAT2;PTPN6;FCGR2B;USP18"
"65","cellular response to exogenous dsRNA (GO:0071360)","2/14",0.0046078705382058,0.0504771272594363,0.00848821225036747,0.0947064422378964,-2.7778981708003,14.9450628548318,"IFIH1;DDX58"
"66","positive regulation of type 2 immune response (GO:0002830)","2/11",0.0028255206293462,0.0382556444759794,0.00561315264378272,0.0768619197245247,-2.47916560916499,14.5503782496437,"CD86;RSAD2"
"67","interferon-gamma-mediated signaling pathway (GO:0060333)","6/71",1.37560407116718e-05,0.000571587208881533,5.83793833157236e-05,0.00251239846055167,-1.29400035504993,14.4850820369991,"OAS1;OAS2;STAT1;IRF7;TRIM25;IRF9"
"68","negative regulation of leukocyte activation (GO:0002695)","2/12",0.00337431954577831,0.0423547401319049,0.00651117687760061,0.081728834765716,-2.51314048077826,14.303693833312,"CD84;FCGR2B"
"69","negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732)","3/28",0.00111375681999758,0.0197364260014277,0.00249158507217287,0.0484007032496178,-2.10108359669538,14.2874030324211,"MVP;PTPN6;PARP14"
"70","leukocyte cell-cell adhesion (GO:0007159)","3/28",0.00111375681999758,0.0197364260014277,0.00249158507217287,0.0484007032496178,-2.0072524928063,13.6493499819148,"ITGB2;MSN;FERMT3"
"71","regulation of granulocyte macrophage colony-stimulating factor production (GO:0032645)","2/14",0.0046078705382058,0.0504771272594363,0.00848821225036747,0.0947064422378964,-2.5351989247548,13.6393434713437,"CD84;DDX58"
"72","antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)","5/98",0.000786126043667742,0.0169157479039219,0.0021368713954103,0.0451742110784108,-1.90559944886125,13.6219745566144,"LAG3;FCER1G;FCGR2B;HLA-DOB;CTSS"
"73","regulation of phagocytosis (GO:0050764)","4/42",0.000252362379268893,0.00661079710910904,0.000698661134158059,0.0187085925924547,-1.64136560872658,13.5981305471205,"FCER1G;SLC11A1;DOCK2;FCGR2B"
"74","cellular response to cytokine stimulus (GO:0071345)","14/457",7.25881085174559e-06,0.000347235376974323,6.76466575476913e-05,0.00281083525327476,-1.1473427476566,13.5768446679904,"CD86;CSF3R;ITGAM;SELPLG;CSF1;STAT1;PYHIN1;STAT2;ITGB2;OSMR;CCL8;ITGAX;PTPN6;VIM"
"75","amyloid precursor protein metabolic process (GO:0042982)","2/14",0.0046078705382058,0.0504771272594363,0.00848821225036747,0.0947064422378964,-2.51850108941309,13.5495092933508,"APOE;KLK6"
"76","positive regulation of interferon-beta production (GO:0032728)","3/27",0.000999782877434455,0.0197364260014277,0.00226489699026681,0.045661580513162,-1.9350111414703,13.3670036075811,"IFIH1;DDX58;IRF7"
"77","regulation of actin filament depolymerization (GO:0030834)","2/12",0.00337431954577831,0.0423547401319049,0.00651117687760061,0.081728834765716,-2.31450415323319,13.1731429408691,"PLEKHH2;PLEK"
"78","antigen processing and presentation of exogenous peptide antigen (GO:0002478)","5/98",0.000786126043667742,0.0169157479039219,0.0021368713954103,0.0451742110784108,-1.8381424918733,13.1397656893177,"LAG3;FCER1G;FCGR2B;HLA-DOB;CTSS"
"79","regulation of tumor necrosis factor secretion (GO:1904467)","2/16",0.00601813045962163,0.0589581073483258,0.0106991733657435,0.106549619055545,-2.55946771663291,13.0865037208234,"IFIH1;DDX58"
"80","positive regulation of superoxide anion generation (GO:0032930)","2/12",0.00337431954577831,0.0423547401319049,0.00651117687760061,0.081728834765716,-2.28283691640759,12.9929069120578,"ITGAM;ITGB2"
"81","positive regulation of cellular protein catabolic process (GO:1903364)","2/18",0.00759972961534852,0.0683408521380221,0.0131353953730855,0.11900865732758,-2.63667212393959,12.8660176425988,"MSN;APOE"
"82","regulation of mononuclear cell migration (GO:0071675)","2/13",0.0039686661662842,0.0478224273037246,0.00746990325896874,0.0918493206842585,-2.3090770067296,12.7676377259284,"CSF1;CMKLR1"
"83","regulation of neuron death (GO:1901214)","5/73",0.000201358685790765,0.00582671848039844,0.000613425408878436,0.0171901771557794,-1.49969379569883,12.7630281726892,"ITGAM;GPNMB;CTSZ;APOE;FCGR2B"
"84","cellular response to low-density lipoprotein particle stimulus (GO:0071404)","2/14",0.0046078705382058,0.0504771272594363,0.00848821225036747,0.0947064422378964,-2.36426413543444,12.7197161079928,"FCER1G;ITGB2"
"85","antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)","5/99",0.000823104530154566,0.0171007061868319,0.00222923663910962,0.045661580513162,-1.78954883003856,12.7101405621944,"LAG3;FCER1G;FCGR2B;HLA-DOB;CTSS"
"86","regulation of granulocyte chemotaxis (GO:0071622)","2/14",0.0046078705382058,0.0504771272594363,0.00848821225036747,0.0947064422378964,-2.35141356502304,12.6505801747403,"CSF1;CMKLR1"
"87","inositol phosphate metabolic process (GO:0043647)","3/48",0.00528314413717177,0.053722595475025,0.0101634377728387,0.104674722361287,-2.40961957646244,12.6341989963208,"PLCG2;PLD4;IP6K3"
"88","regulation of macrophage chemotaxis (GO:0010758)","2/16",0.00601813045962163,0.0589581073483258,0.0106991733657435,0.106549619055545,-2.45940234519292,12.5748716157709,"CSF1;CMKLR1"
"89","regulation of interferon-beta production (GO:0032648)","3/35",0.00214311208222635,0.0314102789764395,0.00447176770315069,0.0657131717353242,-1.97372483665754,12.1295186064998,"IFIH1;DDX58;IRF7"
"90","positive regulation of cytokine-mediated signaling pathway (GO:0001961)","3/34",0.00196994734052516,0.0296723318166602,0.00414507325803786,0.0624351659491952,-1.94108901822893,12.0924963361801,"CSF1;PARP14;IRGM"
"91","neutrophil chemotaxis (GO:0030593)","4/54",0.000666003657719934,0.0151421586330664,0.00167494763845906,0.0380813566857202,-1.64267572469291,12.0148840751445,"CCL8;FCER1G;ITGB2;PIK3CG"
"92","regulation of superoxide anion generation (GO:0032928)","2/14",0.0046078705382058,0.0504771272594363,0.00848821225036747,0.0947064422378964,-2.21875662600803,11.9368872422388,"ITGAM;ITGB2"
"93","hemopoiesis (GO:0030097)","5/77",0.000258711510991189,0.00663292278179539,0.000770989207029588,0.0201965650971881,-1.41342050914177,11.6745664447402,"PTPRC;CSF1;IFI16;PLEK;PLD4"
"94","regulation of immune response (GO:0050776)","9/252",0.000105483978966275,0.00334495249090426,0.000496019923034111,0.0153257437757975,-1.25649047968319,11.5056223509058,"C3;IFITM1;TYROBP;ITGB2;IRF7;TREM2;CD300C;FCGR2B;LAIR1"
"95","toll-like receptor 4 signaling pathway (GO:0034142)","2/16",0.00601813045962163,0.0589581073483258,0.0106991733657435,0.106549619055545,-2.24806968403117,11.494332236957,"ITGAM;ITGB2"
"96","negative regulation of T cell activation (GO:0050868)","3/35",0.00214311208222635,0.0314102789764395,0.00447176770315069,0.0657131717353242,-1.85654738327448,11.4094050047076,"CD86;GPNMB;FCGR2B"
"97","positive regulation of endocytosis (GO:0045807)","5/65",0.00011606749702995,0.00349653334802726,0.000371906603098397,0.0117933541245676,-1.25013357987454,11.3278837438962,"FCER1G;SLC11A1;APOE;DOCK2;FCGR2B"
"98","immune response-activating cell surface receptor signaling pathway (GO:0002429)","2/21",0.0102819318863854,0.0854463994696163,0.0171936969392677,0.146104229473455,-2.46928798166289,11.3028375921843,"FCER1G;C3AR1"
"99","regulated exocytosis (GO:0045055)","5/149",0.00491583483198481,0.0528891158262651,0.0115931594149875,0.112811334873778,-2.10633975764453,11.1958144141535,"LGALS3BP;PROS1;ANXA5;PLEK;FERMT3"
"100","negative regulation of lymphocyte proliferation (GO:0050672)","3/30",0.00136555186885648,0.0238476811880009,0.00298587036064763,0.0521445476026145,-1.69081404408733,11.1529419038326,"CD86;GPNMB;FCGR2B"
"101","positive regulation of microglial cell activation (GO:1903980)","1/7",0.0503367080206077,0.224251975271439,0.0682146690183835,0.299516826802904,-3.72221708913091,11.1257838783705,"ITGAM"
"102","positive regulation of G-protein coupled receptor protein signaling pathway (GO:0045745)","2/18",0.00759972961534852,0.0683408521380221,0.0131353953730855,0.11900865732758,-2.27963131942064,11.123786119627,"C3;KLK6"
"103","positive regulation of response to cytokine stimulus (GO:0060760)","2/15",0.00529125027075976,0.053722595475025,0.009564999038642,0.101103717908453,-2.09681459258473,10.9908745490856,"IFIH1;DDX58"
"104","positive regulation of antigen receptor-mediated signaling pathway (GO:0050857)","2/17",0.00678784362164616,0.0639011840944033,0.0118896593601409,0.112811334873778,-2.20069099385417,10.9872182036596,"PTPRC;NFAM1"
"105","regulation of macrophage differentiation (GO:0045649)","2/14",0.0046078705382058,0.0504771272594363,0.00848821225036747,0.0947064422378964,-2.03922902337041,10.9710306338868,"CSF1;C1QC"
"106","regulation of stem cell proliferation (GO:0072091)","2/17",0.00678784362164616,0.0639011840944033,0.0118896593601409,0.112811334873778,-2.17585152615834,10.8632041315345,"PTPRC;EIF2AK2"
"107","regulation of monocyte differentiation (GO:0045655)","2/15",0.00529125027075976,0.053722595475025,0.009564999038642,0.101103717908453,-2.06621439824377,10.8304774885307,"CSF1;IRF7"
"108","platelet aggregation (GO:0070527)","3/34",0.00196994734052516,0.0296723318166602,0.00414507325803786,0.0624351659491952,-1.73284111459891,10.7951642777252,"PLEK;PIK3CG;FERMT3"
"109","amide transport (GO:0042886)","2/16",0.00601813045962163,0.0589581073483258,0.0106991733657435,0.106549619055545,-2.09910150297694,10.7326611117532,"SLC14A1;TAP1"
"110","positive regulation of immune response (GO:0050778)","4/55",0.000714172550103455,0.0159366282013827,0.00178467794139201,0.0398247577662477,-1.47975040675029,10.7198830680212,"ITGAM;PTPRC;ITGB2;FCGR2B"
"111","positive regulation of interleukin-6 secretion (GO:2000778)","2/18",0.00759972961534852,0.0683408521380221,0.0131353953730855,0.11900865732758,-2.13290285574279,10.4078036562747,"IFIH1;DDX58"
"112","translesion synthesis (GO:0019985)","3/43",0.00387161334135207,0.0473384015348686,0.00764728294846427,0.0930805651808025,-1.87020452159522,10.3872729628823,"UBA7;TRIM25;ISG15"
"113","regulation of toll-like receptor 9 signaling pathway (GO:0034163)","1/8",0.0573191770818284,0.224251975271439,0.0764101285383167,0.299516826802904,-3.62906414492729,10.3759299966709,"RSAD2"
"114","leukocyte differentiation (GO:0002521)","2/14",0.0046078705382058,0.0504771272594363,0.00848821225036747,0.0947064422378964,-1.91642307970894,10.3103359524691,"TREM2;IKZF1"
"115","positive regulation of protein localization to endosome (GO:1905668)","1/7",0.0503367080206077,0.224251975271439,0.0682146690183835,0.299516826802904,-3.39864308802473,10.1586144955102,"MSN"
"116","negative regulation of lymphocyte activation (GO:0051250)","2/20",0.00934741584075986,0.079471631734251,0.0157884409886282,0.137862836168819,-2.16685625132485,10.1249724652913,"GPNMB;FCGR2B"
"117","macrophage activation (GO:0042116)","2/18",0.00759972961534852,0.0683408521380221,0.0131353953730855,0.11900865732758,-2.06706227332119,10.0865251448724,"ITGAM;SLC11A1"
"118","hexose metabolic process (GO:0019318)","3/46",0.00468655872393465,0.0508766059670383,0.00910642654988416,0.0989137884962882,-1.86892117742815,10.0231302674408,"OAS1;APOD;MAN2B1"
"119","cellular response to dsRNA (GO:0071359)","2/17",0.00678784362164616,0.0639011840944033,0.0118896593601409,0.112811334873778,-1.98563669859362,9.91353340453939,"IFIH1;DDX58"
"120","regulation of interleukin-18 production (GO:0032661)","1/8",0.0573191770818284,0.224251975271439,0.0764101285383167,0.299516826802904,-3.46708269129189,9.91280557765806,"CD84"
"121","regulation of adaptive immune response (GO:0002819)","2/15",0.00529125027075976,0.053722595475025,0.009564999038642,0.101103717908453,-1.88872887554979,9.90015149733098,"IRF7;FCGR2B"
"122","plasma membrane invagination (GO:0099024)","5/104",0.0010277853993472,0.0197364260014277,0.00273526747064586,0.0491939895840039,-1.42230794502836,9.78597488973374,"C3;IGHM;ITGAM;ITGB2;FCGR2B"
"123","regulation of cytokine-mediated signaling pathway (GO:0001959)","5/91",0.000560880175255958,0.0135172122236686,0.00156651947960965,0.0363010764024928,-1.28934366641289,9.65203089853637,"PTPRC;STAT1;STAT2;PTPN6;USP18"
"124","homotypic cell-cell adhesion (GO:0034109)","3/39",0.00292907637376881,0.0392170781154602,0.00593228198951912,0.0794266644152283,-1.6377742397463,9.55324873255369,"PLEK;PIK3CG;FERMT3"
